|   EBV|EBV_unc|    RV|RV_unc|                AV|              AV_unc|    C1|C1_unc|    C2|C2_unc|    C3|C3_unc|    C4|C4_unc|        x0|    x0_unc|     gamma| gamma_unc|
|double| double|double|double|            double|              double|double|double|double|double|double|double|double|double|    double|    double|    double|    double|
|   mag|    mag|      |      |               mag|                 mag|      |      |      |      |      |      |      |      |1 / micron|1 / micron|1 / micron|1 / micron|
|  null|   null|  null|  null|              null|                null|  null|  null|  null|  null|  null|  null|  null|  null|      null|      null|      null|      null|
   0.36    0.01   2.68   0.15             0.9648   0.1450412434585418  -0.44   0.26   0.91   0.06   3.66   0.22   0.55   0.03      4.593      0.005       1.18       0.03 
   0.24    0.01   3.09   0.24 0.7415999999999999   0.1781384330008547   0.21   0.35   0.58   0.08   4.68   0.42   0.67   0.12      4.554      0.008       0.94       0.04 
   0.49    0.01   3.13   0.13 1.5336999999999998  0.19997001457718605    0.1   0.17   0.79   0.06   3.44   0.21   0.76   0.05      4.589      0.005       1.11       0.03 
   0.53    0.01   3.64   0.11 1.9292000000000002  0.21308710474357667   0.81   0.11   0.69   0.03   2.78    0.1   0.37   0.02      4.597      0.003       0.95       0.01 
   0.96    0.02   3.46   0.09 3.3215999999999997   0.3062363886934405  -0.77   0.18   0.79   0.03  10.67   2.79   0.34   0.03      4.639      0.037       2.41       0.22 
    0.8    0.01   2.71   0.06              2.168  0.13187429165686543   0.59   0.16   0.59   0.03   3.91   0.16   0.35   0.01      4.581      0.003        1.0       0.02 
   0.48    0.01    3.3   0.12 1.5839999999999999  0.19073885812806993  -2.01   0.18   1.18   0.04   3.14   0.18   0.61   0.04      4.616      0.005       0.97       0.03 
   0.43    0.01   2.98   0.12 1.2813999999999999  0.15430099293264446  -1.21   0.13   1.13   0.04   3.21   0.15   0.53   0.03      4.611      0.004       0.99       0.02 
   0.33    0.01   2.92   0.17             0.9636   0.1640951670220668  -1.49   0.25   1.16   0.07   3.66   0.23   0.53   0.03      4.605      0.007       1.02       0.03 
   0.23    0.01   3.04   0.25             0.6992  0.17493978410870414  -0.25   0.28   0.82   0.13   5.25    0.4   0.63   0.09       4.57      0.004       1.08       0.02 
   0.39    0.01   3.14    0.2 1.2246000000000001   0.2452259588950567  -0.58   0.24   0.79    0.1   6.95   0.52   0.43   0.04      4.603      0.006       1.23       0.03 
   0.35    0.01   3.09   0.18             1.0815  0.19497018522071521   0.68   0.29   0.53   0.07   3.94   0.42   0.37   0.04      4.588       0.01       1.12       0.05 
   0.37    0.01   3.29   0.14             1.2173   0.1708561968820564  -0.25   0.26   0.93   0.07   3.01   0.38   0.36   0.05      4.553      0.012       1.03       0.07 
    0.4    0.02   2.93   0.16 1.1720000000000002  0.18897932162011805   0.49   0.23   0.61   0.06   3.13   0.29   0.35   0.04      4.592      0.008       1.03       0.04 
   0.52    0.01   2.87   0.12 1.4924000000000002  0.17970875749389623  -0.35   0.15   0.82   0.05   5.06   0.19   0.45   0.03      4.619      0.004       1.12       0.02 
   0.69    0.01    3.1    0.0              2.139              0.02139   0.39   0.11   0.58   0.03   3.83   0.13   0.29   0.02      4.599      0.003       0.93       0.01 
   0.99    0.01   2.35   0.05 2.3265000000000002  0.11862868898373617   -0.1   0.09   0.81   0.02   3.61   0.28   0.45   0.03      4.614      0.007       1.26       0.05 
   0.28    0.01    2.9   0.19              0.812  0.15449353643437647   0.49   0.42   0.57   0.11   2.93   0.18   0.94   0.22      4.567      0.008       0.81       0.03 
   0.52    0.01   3.23   0.12             1.6796   0.2022506225453954   0.78   0.24   0.52   0.04   4.18    0.3   0.44   0.02      4.584      0.006       1.08       0.03 
   0.34    0.01   3.04   0.15             1.0336  0.15538415136686237    0.9   0.19   0.69   0.05   2.63   0.12    0.4   0.06       4.59      0.003       0.83       0.01 
   0.31    0.01    5.6   0.25              1.736  0.43434706123099304    1.8   0.51  -0.08   0.11   2.33   0.18   0.22   0.02      4.588      0.006       0.87       0.02 
   0.52    0.01   5.48   0.17             2.8496  0.48526939388343876   1.79   0.18   0.01   0.04   2.32   0.18   0.12   0.01      4.582      0.007       1.07       0.04 
   0.82    0.01   5.22   0.09  4.280399999999999   0.3876067054528339   1.28   0.08   0.18   0.02    2.2   0.11    0.2   0.01      4.582      0.006       1.03       0.02 
   0.89    0.01    5.5    0.0 4.8950000000000005  0.04895000000000001   0.41   0.19   0.46   0.03   4.58   0.37   0.48   0.03       4.57      0.011       1.25       0.05 
   0.31    0.01   5.77   0.21             1.7887   0.3760526397966114   2.84   0.47  -0.17   0.09   0.72   0.16    0.1   0.01      4.567      0.018       0.87       0.07 
    0.3    0.01   6.42    0.3              1.926   0.5781209108828359   1.84   0.26  -0.04   0.06   1.79   0.17   0.18   0.08      4.585      0.005       0.99       0.03 
   0.53    0.01   4.55   0.13             2.4115   0.3144211320029238   2.15   0.19    0.1   0.03   1.38   0.06   0.16   0.04      4.584      0.003       0.87       0.02 
   0.23    0.01    5.5    0.0 1.2650000000000001 0.012650000000000002   2.23   0.58  -0.02   0.09   1.76   1.17    0.2   0.05      4.729      0.077       1.26       0.43 
   0.38    0.01   3.34   0.15 1.2691999999999999  0.19080259763430893   1.47   0.33   0.47   0.06   3.43   0.14   0.28   0.03      4.599      0.003       0.84       0.01 
   0.42    0.01   2.92   0.12             1.2264  0.14767811591430868   -0.7   0.23   0.94   0.05    4.4   0.37    0.4   0.04      4.554      0.008       1.19       0.05 
   0.33    0.01   3.95   0.21             1.3035   0.2740451814026293   1.42   0.29   0.35   0.06   2.21   0.13   0.51   0.02      4.619      0.003       0.92       0.02 
   0.52    0.01   3.16   0.14 1.6432000000000002  0.23063411050406232   0.15   0.18   0.69   0.04    4.2   0.35   0.38   0.02      4.575       0.01       1.37       0.05 
   0.56    0.01   2.93   0.09 1.6408000000000003  0.14858075934655873   0.11   0.16   0.81   0.04   3.22   0.13   0.33   0.01      4.576      0.005       0.93       0.02 
   0.31    0.01    5.8   0.26              1.798   0.4678256414520265   2.66   0.26   0.07   0.05   2.95   0.16   0.34   0.02      4.564      0.004       0.91       0.02 
   0.48    0.01   2.81   0.11             1.3488  0.14897982939982177  -0.26    0.2   0.82   0.04   3.03   0.09   0.41   0.03       4.59      0.002       0.87       0.01 
   0.72    0.01   3.14   0.07             2.2608   0.1598627010906547  -0.55   0.15   0.89   0.03   2.48   0.15   0.32   0.04      4.572      0.007       0.89       0.03 
   0.45    0.01   2.71   0.13             1.2195  0.15900334666289262  -0.46   0.23   0.88   0.05   2.35   0.08   0.35   0.03      4.587      0.002       0.82       0.01 
   0.76    0.01   3.07   0.07 2.3331999999999997  0.16498215418644527   0.04   0.14   0.73   0.03   2.42   0.07   0.15   0.01      4.617      0.002       0.82       0.01 
   0.44    0.01   2.99   0.14             1.3156  0.18465325935926508  -0.29   0.31   0.94   0.07   2.45   0.15   0.31   0.03      4.608      0.004       0.84       0.02 
   0.84    0.01   3.63   0.06             3.0492   0.1854755950738533   0.87   0.16   0.43   0.03   2.23   0.09   0.28   0.02      4.583      0.004       0.83       0.02 
   0.49    0.01   2.86   0.11             1.4014  0.15478968929486228  -0.75   0.17   0.89   0.04   2.87   0.12   0.38   0.05      4.606      0.003       0.88       0.01 
   0.43    0.01   2.92   0.12             1.2556  0.15119426153131604   0.32   0.17   0.68   0.04   2.97    0.1   0.28   0.01      4.589      0.002       0.86       0.01 
   0.45    0.01   2.82   0.14              1.269  0.17811263767627497  -0.08   0.31   0.76   0.06   2.52   0.14   0.34   0.03      4.593      0.004        0.8       0.02 
   0.47    0.02   2.94   0.12             1.3818   0.1681032252873216   0.42   0.32   0.72   0.07   2.58   0.13   0.24   0.03      4.606      0.004       0.83       0.02 
   0.48    0.01   3.01   0.11 1.4447999999999999  0.15958337597632152   0.09   0.33    0.8   0.07   2.98   0.21   0.32   0.03      4.589      0.007       0.88       0.04 
   0.47    0.01   3.02   0.11             1.4194  0.15677785427795599   0.26   0.36   0.69   0.07   3.11   0.15   0.19   0.02      4.609      0.005       0.89       0.02 
   0.46    0.01   2.81   0.11             1.2926  0.14277233650816254   0.03   0.18   0.71   0.04   3.25   0.14    0.5   0.07      4.596      0.004        0.9       0.02 
   0.47    0.01   3.12   0.11             1.4664    0.161969173956034  -0.18   0.29   0.81   0.06    3.1   0.22   0.35   0.03      4.592      0.006       0.89       0.03 
